date,description,counterparty,category,amount_usd_thousands,quarter
2013-01-04,Materials & production,Contract Manufacturer 3,cogs,-114013,2013Q1
2013-01-05,Trade receivables collection,Hospital Group 28,revenue,55228,2013Q1
2013-01-07,Trade receivables collection,Hospital Group 13,revenue,20956,2013Q1
2013-01-07,"Selling, general & administrative",Corporate Services 2,sga,-3464,2013Q1
2013-01-07,Research & development,R&D Programs 1,rnd,-4550,2013Q1
2013-01-09,Trade receivables collection,Hospital Group 19,revenue,798,2013Q1
2013-01-12,Trade receivables collection,Hospital Group 25,revenue,23864,2013Q1
2013-01-13,Materials & production,Contract Manufacturer 4,cogs,-25132,2013Q1
2013-01-13,Device Strategy program cash charge,Pump Retirement Logistics LLC,device_strategy,-36265,2013Q1
2013-01-14,Quality remediation cash charge,Quality Compliance Partners LLP,quality_matters,-105,2013Q1
2013-01-15,Trade receivables collection,Hospital Group 04,revenue,36782,2013Q1
2013-01-16,Research & development,R&D Programs 3,rnd,-6268,2013Q1
2013-01-18,"Selling, general & administrative",Corporate Services 1,sga,-1556,2013Q1
2013-01-18,"Selling, general & administrative",Corporate Services 4,sga,-2249,2013Q1
2013-01-19,Trade receivables collection,Hospital Group 10,revenue,64799,2013Q1
2013-01-20,Trade receivables collection,Hospital Group 22,revenue,79471,2013Q1
2013-01-21,"Selling, general & administrative",Corporate Services 3,sga,-1657,2013Q1
2013-01-23,Trade receivables collection,Hospital Group 07,revenue,7555,2013Q1
2013-01-25,Trade receivables collection,Hospital Group 16,revenue,22128,2013Q1
2013-01-26,Research & development,R&D Programs 4,rnd,-7210,2013Q1
2013-01-26,Quality remediation cash charge,Quality Compliance Partners LLP,quality_matters,-10999,2013Q1
2013-01-27,Materials & production,Contract Manufacturer 2,cogs,-15093,2013Q1
2013-01-28,Research & development,R&D Programs 2,rnd,-1644,2013Q1
2013-01-31,Trade receivables collection,Hospital Group 01,revenue,39616,2013Q1
2013-01-31,Materials & production,Contract Manufacturer 1,cogs,-105838,2013Q1
2013-01-31,Device Strategy program cash charge,Infusion Replacement Program Admin,device_strategy,-9147,2013Q1
2013-02-03,Materials & production,Contract Manufacturer 3,cogs,-13956,2013Q1
2013-02-04,Trade receivables collection,Hospital Group 05,revenue,22437,2013Q1
2013-02-06,Trade receivables collection,Hospital Group 17,revenue,67721,2013Q1
2013-02-07,Materials & production,Contract Manufacturer 4,cogs,-70395,2013Q1
2013-02-09,Trade receivables collection,Hospital Group 02,revenue,24255,2013Q1
2013-02-09,Materials & production,Contract Manufacturer 1,cogs,-139096,2013Q1
2013-02-11,Trade receivables collection,Hospital Group 20,revenue,12444,2013Q1
2013-02-12,Trade receivables collection,Hospital Group 14,revenue,48464,2013Q1
2013-02-12,Research & development,R&D Programs 4,rnd,-8965,2013Q1
2013-02-13,Trade receivables collection,Hospital Group 23,revenue,43375,2013Q1
2013-02-17,"Selling, general & administrative",Corporate Services 2,sga,-2839,2013Q1
2013-02-18,"Selling, general & administrative",Corporate Services 4,sga,-12879,2013Q1
2013-02-18,Research & development,R&D Programs 2,rnd,-4389,2013Q1
2013-02-18,Device Strategy program cash charge,MedDevice Collection & Destruction Inc,device_strategy,-11001,2013Q1
2013-02-20,Research & development,R&D Programs 1,rnd,-2648,2013Q1
2013-02-21,Trade receivables collection,Hospital Group 26,revenue,50657,2013Q1
2013-02-21,Materials & production,Contract Manufacturer 2,cogs,-15726,2013Q1
2013-02-22,Trade receivables collection,Hospital Group 08,revenue,59642,2013Q1
2013-02-23,"Selling, general & administrative",Corporate Services 1,sga,-5012,2013Q1
2013-02-24,"Selling, general & administrative",Corporate Services 3,sga,-6519,2013Q1
2013-02-24,Device Strategy program cash charge,Device Quality Systems Upgrade Co,device_strategy,-52217,2013Q1
2013-02-27,Trade receivables collection,Hospital Group 11,revenue,19105,2013Q1
2013-02-27,Trade receivables collection,Hospital Group 29,revenue,4583,2013Q1
2013-02-27,Research & development,R&D Programs 3,rnd,-5565,2013Q1
2013-02-28,Quality remediation cash charge,FDA Remediation Consultants Group,quality_matters,-5344,2013Q1
2013-03-04,Trade receivables collection,Hospital Group 12,revenue,20860,2013Q1
2013-03-08,Trade receivables collection,Hospital Group 03,revenue,33086,2013Q1
2013-03-08,Research & development,R&D Programs 3,rnd,-4731,2013Q1
2013-03-10,Trade receivables collection,Hospital Group 30,revenue,61354,2013Q1
2013-03-11,Trade receivables collection,Hospital Group 06,revenue,8187,2013Q1
2013-03-12,Materials & production,Contract Manufacturer 1,cogs,-60168,2013Q1
2013-03-13,Trade receivables collection,Hospital Group 15,revenue,9495,2013Q1
2013-03-13,Research & development,R&D Programs 2,rnd,-1260,2013Q1
2013-03-14,"Selling, general & administrative",Corporate Services 1,sga,-16379,2013Q1
2013-03-17,Materials & production,Contract Manufacturer 2,cogs,-16151,2013Q1
2013-03-19,Materials & production,Contract Manufacturer 3,cogs,-16310,2013Q1
2013-03-19,"Selling, general & administrative",Corporate Services 2,sga,-3009,2013Q1
2013-03-20,"Selling, general & administrative",Corporate Services 4,sga,-10212,2013Q1
2013-03-20,Research & development,R&D Programs 4,rnd,-17984,2013Q1
2013-03-22,Trade receivables collection,Hospital Group 18,revenue,33888,2013Q1
2013-03-22,Trade receivables collection,Hospital Group 24,revenue,54254,2013Q1
2013-03-22,"Selling, general & administrative",Corporate Services 3,sga,-3825,2013Q1
2013-03-25,Trade receivables collection,Hospital Group 21,revenue,12158,2013Q1
2013-03-26,Trade receivables collection,Hospital Group 09,revenue,43793,2013Q1
2013-03-26,Device Strategy program cash charge,Customer Sales Allowance - Credit Memo,device_strategy,-2378,2013Q1
2013-03-26,Device Strategy program cash charge,Pump Retirement Logistics LLC,device_strategy,-18992,2013Q1
2013-03-27,Trade receivables collection,Hospital Group 27,revenue,39045,2013Q1
2013-03-30,Research & development,R&D Programs 1,rnd,-14786,2013Q1
2013-03-31,Materials & production,Contract Manufacturer 4,cogs,-40522,2013Q1
2013-03-31,Quality remediation cash charge,Sterile Process Validation Services,quality_matters,-3552,2013Q1
2013-03-31,Interest payment on credit facilities,Citibank N.A. as Admin Agent,interest,-20500,2013Q1
2013-03-31,Income tax payment/(refund),Tax Authorities,tax,2000,2013Q1
2013-04-04,Trade receivables collection,Hospital Group 16,revenue,13528,2013Q2
2013-04-04,Materials & production,Contract Manufacturer 2,cogs,-189519,2013Q2
2013-04-05,Trade receivables collection,Hospital Group 19,revenue,3226,2013Q2
2013-04-05,Trade receivables collection,Hospital Group 25,revenue,6245,2013Q2
2013-04-06,Research & development,R&D Programs 3,rnd,-11541,2013Q2
2013-04-07,Trade receivables collection,Hospital Group 28,revenue,875,2013Q2
2013-04-09,Materials & production,Contract Manufacturer 4,cogs,-54253,2013Q2
2013-04-09,Research & development,R&D Programs 2,rnd,-4221,2013Q2
2013-04-10,Research & development,R&D Programs 1,rnd,-3314,2013Q2
2013-04-11,Trade receivables collection,Hospital Group 04,revenue,16713,2013Q2
2013-04-12,Trade receivables collection,Hospital Group 07,revenue,3746,2013Q2
2013-04-12,"Selling, general & administrative",Corporate Services 1,sga,-6952,2013Q2
2013-04-14,Materials & production,Contract Manufacturer 1,cogs,-1390,2013Q2
2013-04-14,Research & development,R&D Programs 4,rnd,-2687,2013Q2
2013-04-15,"Selling, general & administrative",Corporate Services 2,sga,-11394,2013Q2
2013-04-18,Device Strategy program cash charge,Infusion Replacement Program Admin,device_strategy,-13529,2013Q2
2013-04-20,Quality remediation cash charge,Quality Compliance Partners LLP,quality_matters,-1054,2013Q2
2013-04-23,"Selling, general & administrative",Corporate Services 3,sga,-2392,2013Q2
2013-04-24,Trade receivables collection,Hospital Group 01,revenue,8182,2013Q2
2013-04-24,Quality remediation cash charge,Quality Compliance Partners LLP,quality_matters,-47,2013Q2
2013-04-25,Trade receivables collection,Hospital Group 13,revenue,55656,2013Q2
2013-04-25,Device Strategy program cash charge,Pump Retirement Logistics LLC,device_strategy,-9432,2013Q2
2013-04-27,Trade receivables collection,Hospital Group 22,revenue,72779,2013Q2
2013-04-28,Materials & production,Contract Manufacturer 3,cogs,-15343,2013Q2
2013-04-28,"Selling, general & administrative",Corporate Services 4,sga,-9936,2013Q2
2013-04-30,Trade receivables collection,Hospital Group 10,revenue,16139,2013Q2
2013-05-04,Trade receivables collection,Hospital Group 02,revenue,26596,2013Q2
2013-05-04,"Selling, general & administrative",Corporate Services 3,sga,-3901,2013Q2
